# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
ARL	AIRLEC	Airlec - Air Aquitaine Transport	France
ARM	AMEX	Aeromarket Express	Spain
ARO	ARROW	Arrow Aviation Ltd.	Canada
ARR	AIR ARMENIA	Air Armenia	Armenia
ARS	METSERVICE	Aeromet Servicios	Chile
ART	AEROTAL	Aerotal Aerolineas Territoriales de Colombia Ltda	Colombia
ARV	ARAVCO	Aravco Ltd.	United Kingdom
ARW	ARIABIRD	Aria	France
ARY	GOSEY	Argosy Airways	United States
ARZ	AIR RESORTS	Air Resorts	United States
ASA	ALASKA	Alaska Airlines	United States
ASB	AIR SPRAY	Air-Spray 1967 Ltd.	Canada
ASC	AIR STAR	Air Star Corporation	Canada
ASD	AIR SINAI	Air Sinai	Egypt
